metric,value,method,dataset,category
ARI,0.8172758792480528,Cobolt,D45,mosaic
NMI,0.8077747649052915,Cobolt,D45,mosaic
ASW,0.6119634983922815,Cobolt,D45,mosaic
iASW,0.6342461468326414,Cobolt,D45,mosaic
iF1,0.8477860042240302,Cobolt,D45,mosaic
cLISI,0.9986941652871174,Cobolt,D45,mosaic
ASW_batch,0.935457759020157,Cobolt,D45,mosaic
GC,0.9605574987136595,Cobolt,D45,mosaic
iLISI,0.7669104313421584,Cobolt,D45,mosaic
ARI,0.8185183769251428,MultiVI,D45,mosaic
NMI,0.8098577252545478,MultiVI,D45,mosaic
ASW,0.5748256924424059,MultiVI,D45,mosaic
iASW,0.6225552172156945,MultiVI,D45,mosaic
iF1,0.8995063437263527,MultiVI,D45,mosaic
cLISI,0.999183057465999,MultiVI,D45,mosaic
ASW_batch,0.986341925039468,MultiVI,D45,mosaic
GC,0.9901884333564683,MultiVI,D45,mosaic
iLISI,0.85827499670847,MultiVI,D45,mosaic
ARI,0.7754433335107166,Multigrate,D45,mosaic
NMI,0.7714851299037516,Multigrate,D45,mosaic
ASW,0.5462647325807226,Multigrate,D45,mosaic
iASW,0.5603387839820222,Multigrate,D45,mosaic
iF1,0.7571889290956031,Multigrate,D45,mosaic
cLISI,0.9942994071927261,Multigrate,D45,mosaic
ASW_batch,0.9108361416253599,Multigrate,D45,mosaic
GC,0.9708486393804298,Multigrate,D45,mosaic
iLISI,0.7485550554565943,Multigrate,D45,mosaic
ARI,0.36673201519083254,SMILE,D45,mosaic
NMI,0.5800042998223245,SMILE,D45,mosaic
ASW,0.5614783395518959,SMILE,D45,mosaic
iASW,0.5948841592826686,SMILE,D45,mosaic
iF1,0.614990385440798,SMILE,D45,mosaic
cLISI,0.9788494125012325,SMILE,D45,mosaic
ASW_batch,0.8989089200672987,SMILE,D45,mosaic
GC,0.9718676677053325,SMILE,D45,mosaic
iLISI,0.5615874711386404,SMILE,D45,mosaic
